section,rank,relation,cheb_distance,tile_id,t0,t1,x0,x1,y0,y1,z0,z1,n,rho_peak_err,rho_peak_ref,rho_tile_ratio,rho_abs_sum,file
local_ring,1,TARGET,0,864,0,9,62,93,155,186,126,135,34609,0.01957370339842047,0.007637379653496855,2.5628820729709885,0.0003008951317725123,N301_v1_sigma4_R3/tiles/tile000864_t0-9_x62-93_y155-186_z126-135.score.json
local_ring,2,CORNER_4D,1,4231,9,18,62,93,124,155,135,144,41289,0.00014157358412357165,0.0011146705268523316,0.12700935452501375,3.859890615230198e-05,N301_v1_sigma4_R3/tiles/tile004231_t9-18_x62-93_y124-155_z135-144.score.json
local_ring,3,EDGE_yz,1,831,0,9,62,93,124,155,135,144,26544,0.0001060242611015678,0.0008655639376591601,0.12249154162810998,1.9894896720205807e-05,N301_v1_sigma4_R3/tiles/tile000831_t0-9_x62-93_y124-155_z135-144.score.json
local_ring,4,CORNER_4D,1,3891,9,18,31,62,124,155,135,144,77841,0.00046616467534309387,0.004434610369477511,0.1051196467116045,0.0015202240571238314,N301_v1_sigma4_R3/tiles/tile003891_t9-18_x31-62_y124-155_z135-144.score.json
local_ring,5,CORNER_4D,1,491,0,9,31,62,124,155,135,144,51894,0.00046612908362940654,0.0044375589884843875,0.10504177743643002,0.0010193068736430648,N301_v1_sigma4_R3/tiles/tile000491_t0-9_x31-62_y124-155_z135-144.score.json
local_ring,6,FACE_y,1,830,0,9,62,93,124,155,126,135,30434,0.00021560416725353382,0.0025258149517075217,0.08536023872523969,7.170404785775266e-05,N301_v1_sigma4_R3/tiles/tile000830_t0-9_x62-93_y124-155_z126-135.score.json
local_ring,7,EDGE_ty,1,4230,9,18,62,93,124,155,126,135,47151,0.0002453290492975789,0.0030703941450227965,0.07990148421018352,0.000136323382422382,N301_v1_sigma4_R3/tiles/tile004230_t9-18_x62-93_y124-155_z126-135.score.json
local_ring,8,CORNER_4D,1,3890,9,18,31,62,124,155,126,135,77841,0.0004463542949483479,0.0061654587932431755,0.0723959578543473,0.0027902696115826454,N301_v1_sigma4_R3/tiles/tile003890_t9-18_x31-62_y124-155_z126-135.score.json
local_ring,9,EDGE_xy,1,490,0,9,31,62,124,155,126,135,51894,0.00044613594054927037,0.006165834132040694,0.07235613722252592,0.0018793433577132576,N301_v1_sigma4_R3/tiles/tile000490_t0-9_x31-62_y124-155_z126-135.score.json
local_ring,10,CORNER_4D,1,3925,9,18,31,62,155,186,135,144,77841,0.00046359207953814016,0.007136347951640322,0.06496209022873968,0.002733547696607386,N301_v1_sigma4_R3/tiles/tile003925_t9-18_x31-62_y155-186_z135-144.score.json
