metric,N61,N71,N81,N91,N101,order_N61_N71,order_N71_N81,order_N81_N91,order_N91_N101,descriptive_five_grid_log_slope
relative_Bianchi_residual,0.006031912101890444,0.004538437626932157,0.0035299983833249567,0.002819880281060446,0.002302252148004587,1.845475097237796,1.881845159297671,1.90692132519466,1.9248823018444912,1.8859169686509916
rho_relative_peak_error,0.04964638263844123,0.037033850908382716,0.02858669536805789,0.022740302310159808,0.018509149568745848,1.9013419021561853,1.9388022999551673,1.9425771203443738,1.9539919678937006,1.9325444182158986
Hessian_Q_normalized_residual,0.018923608329206223,0.015545047560557315,0.01357449810639878,0.01240857338767482,0.01170914984708746,1.2758176460076815,1.0151111820986385,0.7624634294514835,0.550652786657553,0.9421510870917849
HTR_normalized_residual,0.01661441080787198,0.012705486513730447,0.010241875755526996,0.008660663765603933,0.007637756312486901,1.7400930757455833,1.6142206173946372,1.423748455936666,1.192927753624865,1.5300564241939316
lambda_fit,0.015789560483007618,0.016046992783419523,0.016227418581089042,0.01635688346979677,0.016452255371338965,-0.1049134119175043,-0.08373199627184265,-0.06746726687751224,-0.05517965004445098,
beta_fit,-1.0306645653701305,-1.0342960186715253,-1.0365130131338942,-1.0379699273529728,-1.0389808711441213,,,,,
action_over_fit,1.0000226651967665,1.0000040192679722,1.0000244510928271,1.0000969658236207,1.0002164129107358,0.0001209574945806703,-0.00015300921833743901,-0.0006156262523803007,-0.0011335211616514066,
action_fit_tensor_difference_percent,0.027417084419199243,0.029452344399313043,0.03053278869846761,0.031170601271117378,0.0315776383714686,-0.4645271435873198,-0.26980646079108667,-0.17552814859824006,-0.12313758990169417,
action_residual_penalty_percent,0.0022665196766524787,0.00040192679722217406,0.0024451092827115772,0.009696582362073158,0.021641291073581925,11.221038909596812,-13.521727634621326,-11.696792017689072,-7.619833853400527,
HTR_improvement_over_H,0.42621716618644856,0.4301795516876008,0.4327826333282817,0.43457705785139966,0.435863976016153,-0.06003014356596465,-0.04517976402866914,-0.03512965077232398,-0.02806493233380314,
